"","Entity","Code","Day","restriction_gatherings"
"178","Mexico","MEX","2020-06-26",3
"179","Mexico","MEX","2020-06-27",3
"180","Mexico","MEX","2020-06-28",3
"181","Mexico","MEX","2020-06-29",3
"182","Mexico","MEX","2020-06-30",3
"183","Mexico","MEX","2020-07-01",3
"184","Mexico","MEX","2020-07-02",3
"185","Mexico","MEX","2020-07-03",3
"186","Mexico","MEX","2020-07-04",3
"187","Mexico","MEX","2020-07-05",3
"188","Mexico","MEX","2020-07-06",3
"189","Mexico","MEX","2020-07-07",3
"190","Mexico","MEX","2020-07-08",3
"191","Mexico","MEX","2020-07-09",3
"192","Mexico","MEX","2020-07-10",3
"193","Mexico","MEX","2020-07-11",3
"194","Mexico","MEX","2020-07-12",3
"195","Mexico","MEX","2020-07-13",3
"196","Mexico","MEX","2020-07-14",3
"197","Mexico","MEX","2020-07-15",3
"198","Mexico","MEX","2020-07-16",3
"199","Mexico","MEX","2020-07-17",3
"200","Mexico","MEX","2020-07-18",3
"201","Mexico","MEX","2020-07-19",3
"202","Mexico","MEX","2020-07-20",3
"203","Mexico","MEX","2020-07-21",3
"204","Mexico","MEX","2020-07-22",3
"205","Mexico","MEX","2020-07-23",3
"206","Mexico","MEX","2020-07-24",3
"207","Mexico","MEX","2020-07-25",3
"208","Mexico","MEX","2020-07-26",3
"209","Mexico","MEX","2020-07-27",3
"210","Mexico","MEX","2020-07-28",3
"211","Mexico","MEX","2020-07-29",3
"212","Mexico","MEX","2020-07-30",3
"213","Mexico","MEX","2020-07-31",3
"214","Mexico","MEX","2020-08-01",3
"215","Mexico","MEX","2020-08-02",3
"216","Mexico","MEX","2020-08-03",3
"217","Mexico","MEX","2020-08-04",3
"218","Mexico","MEX","2020-08-05",3
"219","Mexico","MEX","2020-08-06",3
"220","Mexico","MEX","2020-08-07",3
"221","Mexico","MEX","2020-08-08",3
"222","Mexico","MEX","2020-08-09",3
"223","Mexico","MEX","2020-08-10",3
"224","Mexico","MEX","2020-08-11",3
"225","Mexico","MEX","2020-08-12",3
"226","Mexico","MEX","2020-08-13",3
"227","Mexico","MEX","2020-08-14",3
"228","Mexico","MEX","2020-08-15",3
"229","Mexico","MEX","2020-08-16",3
"230","Mexico","MEX","2020-08-17",3
"231","Mexico","MEX","2020-08-18",3
"232","Mexico","MEX","2020-08-19",3
"233","Mexico","MEX","2020-08-20",3
"234","Mexico","MEX","2020-08-21",3
"235","Mexico","MEX","2020-08-22",3
"236","Mexico","MEX","2020-08-23",3
"237","Mexico","MEX","2020-08-24",3
"238","Mexico","MEX","2020-08-25",3
"239","Mexico","MEX","2020-08-26",3
"240","Mexico","MEX","2020-08-27",3
"241","Mexico","MEX","2020-08-28",3
"242","Mexico","MEX","2020-08-29",3
"243","Mexico","MEX","2020-08-30",3
"244","Mexico","MEX","2020-08-31",3
"245","Mexico","MEX","2020-09-01",3
"246","Mexico","MEX","2020-09-02",3
"247","Mexico","MEX","2020-09-03",3
"248","Mexico","MEX","2020-09-04",3
"249","Mexico","MEX","2020-09-05",3
"250","Mexico","MEX","2020-09-06",3
"251","Mexico","MEX","2020-09-07",3
"252","Mexico","MEX","2020-09-08",3
"253","Mexico","MEX","2020-09-09",3
"254","Mexico","MEX","2020-09-10",3
"255","Mexico","MEX","2020-09-11",3
"256","Mexico","MEX","2020-09-12",3
"257","Mexico","MEX","2020-09-13",3
"258","Mexico","MEX","2020-09-14",3
"259","Mexico","MEX","2020-09-15",3
"260","Mexico","MEX","2020-09-16",3
"261","Mexico","MEX","2020-09-17",3
"262","Mexico","MEX","2020-09-18",3
"263","Mexico","MEX","2020-09-19",3
"264","Mexico","MEX","2020-09-20",3
"265","Mexico","MEX","2020-09-21",3
"266","Mexico","MEX","2020-09-22",3
"267","Mexico","MEX","2020-09-23",3
"268","Mexico","MEX","2020-09-24",3
"269","Mexico","MEX","2020-09-25",3
"270","Mexico","MEX","2020-09-26",3
"271","Mexico","MEX","2020-09-27",3
"272","Mexico","MEX","2020-09-28",3
"273","Mexico","MEX","2020-09-29",3
"274","Mexico","MEX","2020-09-30",3
"275","Mexico","MEX","2020-10-01",3
"276","Mexico","MEX","2020-10-02",3
"277","Mexico","MEX","2020-10-03",3
"278","Mexico","MEX","2020-10-04",3
"279","Mexico","MEX","2020-10-05",3
"280","Mexico","MEX","2020-10-06",3
"281","Mexico","MEX","2020-10-07",3
"282","Mexico","MEX","2020-10-08",3
"283","Mexico","MEX","2020-10-09",3
"284","Mexico","MEX","2020-10-10",3
"285","Mexico","MEX","2020-10-11",3
"286","Mexico","MEX","2020-10-12",3
"287","Mexico","MEX","2020-10-13",3
"288","Mexico","MEX","2020-10-14",3
"289","Mexico","MEX","2020-10-15",3
"290","Mexico","MEX","2020-10-16",3
"291","Mexico","MEX","2020-10-17",3
"292","Mexico","MEX","2020-10-18",3
"293","Mexico","MEX","2020-10-19",3
"294","Mexico","MEX","2020-10-20",3
"295","Mexico","MEX","2020-10-21",3
"296","Mexico","MEX","2020-10-22",3
"297","Mexico","MEX","2020-10-23",3
"298","Mexico","MEX","2020-10-24",3
"299","Mexico","MEX","2020-10-25",3
"300","Mexico","MEX","2020-10-26",3
"301","Mexico","MEX","2020-10-27",3
"302","Mexico","MEX","2020-10-28",3
"303","Mexico","MEX","2020-10-29",3
"304","Mexico","MEX","2020-10-30",3
"305","Mexico","MEX","2020-10-31",3
"306","Mexico","MEX","2020-11-01",3
"307","Mexico","MEX","2020-11-02",3
"308","Mexico","MEX","2020-11-03",3
"309","Mexico","MEX","2020-11-04",3
"310","Mexico","MEX","2020-11-05",3
"311","Mexico","MEX","2020-11-06",3
"312","Mexico","MEX","2020-11-07",3
"313","Mexico","MEX","2020-11-08",3
"314","Mexico","MEX","2020-11-09",3
"315","Mexico","MEX","2020-11-10",3
"316","Mexico","MEX","2020-11-11",3
"317","Mexico","MEX","2020-11-12",3
"318","Mexico","MEX","2020-11-13",3
"319","Mexico","MEX","2020-11-14",3
"320","Mexico","MEX","2020-11-15",3
"321","Mexico","MEX","2020-11-16",3
"322","Mexico","MEX","2020-11-17",3
"323","Mexico","MEX","2020-11-18",3
"324","Mexico","MEX","2020-11-19",3
"325","Mexico","MEX","2020-11-20",3
"326","Mexico","MEX","2020-11-21",3
"327","Mexico","MEX","2020-11-22",3
"328","Mexico","MEX","2020-11-23",3
"329","Mexico","MEX","2020-11-24",3
"330","Mexico","MEX","2020-11-25",3
"331","Mexico","MEX","2020-11-26",3
"332","Mexico","MEX","2020-11-27",3
"333","Mexico","MEX","2020-11-28",3
"334","Mexico","MEX","2020-11-29",3
"335","Mexico","MEX","2020-11-30",3
"336","Mexico","MEX","2020-12-01",3
"337","Mexico","MEX","2020-12-02",3
"338","Mexico","MEX","2020-12-03",3
"339","Mexico","MEX","2020-12-04",3
"340","Mexico","MEX","2020-12-05",3
"341","Mexico","MEX","2020-12-06",3
"342","Mexico","MEX","2020-12-07",3
"343","Mexico","MEX","2020-12-08",3
"344","Mexico","MEX","2020-12-09",3
"345","Mexico","MEX","2020-12-10",3
"346","Mexico","MEX","2020-12-11",3
"347","Mexico","MEX","2020-12-12",3
"348","Mexico","MEX","2020-12-13",3
"349","Mexico","MEX","2020-12-14",3
"350","Mexico","MEX","2020-12-15",3
"351","Mexico","MEX","2020-12-16",3
"352","Mexico","MEX","2020-12-17",3
"353","Mexico","MEX","2020-12-18",3
"354","Mexico","MEX","2020-12-19",3
"355","Mexico","MEX","2020-12-20",3
"356","Mexico","MEX","2020-12-21",3
"357","Mexico","MEX","2020-12-22",3
"358","Mexico","MEX","2020-12-23",3
"359","Mexico","MEX","2020-12-24",3
"360","Mexico","MEX","2020-12-25",3
"361","Mexico","MEX","2020-12-26",3
"362","Mexico","MEX","2020-12-27",3
"363","Mexico","MEX","2020-12-28",3
"364","Mexico","MEX","2020-12-29",3
"365","Mexico","MEX","2020-12-30",3
"366","Mexico","MEX","2020-12-31",3
"367","Mexico","MEX","2021-01-01",3
"368","Mexico","MEX","2021-01-02",3
"369","Mexico","MEX","2021-01-03",3
"370","Mexico","MEX","2021-01-04",3
"371","Mexico","MEX","2021-01-05",3
"372","Mexico","MEX","2021-01-06",3
"373","Mexico","MEX","2021-01-07",3
"374","Mexico","MEX","2021-01-08",3
"375","Mexico","MEX","2021-01-09",3
"376","Mexico","MEX","2021-01-10",3
"377","Mexico","MEX","2021-01-11",3
"378","Mexico","MEX","2021-01-12",3
"379","Mexico","MEX","2021-01-13",3
"380","Mexico","MEX","2021-01-14",3
"381","Mexico","MEX","2021-01-15",3
"382","Mexico","MEX","2021-01-16",3
"383","Mexico","MEX","2021-01-17",3
"384","Mexico","MEX","2021-01-18",3
"385","Mexico","MEX","2021-01-19",3
"386","Mexico","MEX","2021-01-20",3
"387","Mexico","MEX","2021-01-21",3
"388","Mexico","MEX","2021-01-22",3
"389","Mexico","MEX","2021-01-23",3
"390","Mexico","MEX","2021-01-24",3
"391","Mexico","MEX","2021-01-25",3
"392","Mexico","MEX","2021-01-26",3
"393","Mexico","MEX","2021-01-27",3
"394","Mexico","MEX","2021-01-28",3
"395","Mexico","MEX","2021-01-29",3
"396","Mexico","MEX","2021-01-30",3
"397","Mexico","MEX","2021-01-31",3
"398","Mexico","MEX","2021-02-01",3
"399","Mexico","MEX","2021-02-02",3
"400","Mexico","MEX","2021-02-03",3
"401","Mexico","MEX","2021-02-04",3
"402","Mexico","MEX","2021-02-05",3
"403","Mexico","MEX","2021-02-06",3
"404","Mexico","MEX","2021-02-07",3
"405","Mexico","MEX","2021-02-08",3
"406","Mexico","MEX","2021-02-09",3
"407","Mexico","MEX","2021-02-10",3
"408","Mexico","MEX","2021-02-11",3
"409","Mexico","MEX","2021-02-12",3
"410","Mexico","MEX","2021-02-13",3
"411","Mexico","MEX","2021-02-14",3
"412","Mexico","MEX","2021-02-15",3
"413","Mexico","MEX","2021-02-16",3
"414","Mexico","MEX","2021-02-17",3
"415","Mexico","MEX","2021-02-18",3
"416","Mexico","MEX","2021-02-19",3
"417","Mexico","MEX","2021-02-20",3
"418","Mexico","MEX","2021-02-21",3
"419","Mexico","MEX","2021-02-22",3
"420","Mexico","MEX","2021-02-23",3
"421","Mexico","MEX","2021-02-24",3
"422","Mexico","MEX","2021-02-25",3
"423","Mexico","MEX","2021-02-26",3
"424","Mexico","MEX","2021-02-27",3
"425","Mexico","MEX","2021-02-28",3
"426","Mexico","MEX","2021-03-01",3
"427","Mexico","MEX","2021-03-02",0
"428","Mexico","MEX","2021-03-03",0
"429","Mexico","MEX","2021-03-04",0
"430","Mexico","MEX","2021-03-05",0
"431","Mexico","MEX","2021-03-06",0
"432","Mexico","MEX","2021-03-07",0
"433","Mexico","MEX","2021-03-08",0
"434","Mexico","MEX","2021-03-09",0
"435","Mexico","MEX","2021-03-10",0
"436","Mexico","MEX","2021-03-11",0
"437","Mexico","MEX","2021-03-12",0
"438","Mexico","MEX","2021-03-13",0
"439","Mexico","MEX","2021-03-14",0
"440","Mexico","MEX","2021-03-15",0
"441","Mexico","MEX","2021-03-16",0
"442","Mexico","MEX","2021-03-17",0
"443","Mexico","MEX","2021-03-18",0
"444","Mexico","MEX","2021-03-19",0
"445","Mexico","MEX","2021-03-20",0
"446","Mexico","MEX","2021-03-21",0
"447","Mexico","MEX","2021-03-22",0
"448","Mexico","MEX","2021-03-23",0
"449","Mexico","MEX","2021-03-24",0
"450","Mexico","MEX","2021-03-25",0
"451","Mexico","MEX","2021-03-26",0
"452","Mexico","MEX","2021-03-27",0
"453","Mexico","MEX","2021-03-28",0
"454","Mexico","MEX","2021-03-29",0
"455","Mexico","MEX","2021-03-30",0
"456","Mexico","MEX","2021-03-31",0
"457","Mexico","MEX","2021-04-01",0
"458","Mexico","MEX","2021-04-02",0
"459","Mexico","MEX","2021-04-03",0
"460","Mexico","MEX","2021-04-04",0
"461","Mexico","MEX","2021-04-05",0
"462","Mexico","MEX","2021-04-06",0
"463","Mexico","MEX","2021-04-07",0
"464","Mexico","MEX","2021-04-08",0
"465","Mexico","MEX","2021-04-09",0
"466","Mexico","MEX","2021-04-10",0
"467","Mexico","MEX","2021-04-11",0
"468","Mexico","MEX","2021-04-12",0
"469","Mexico","MEX","2021-04-13",0
"470","Mexico","MEX","2021-04-14",0
"471","Mexico","MEX","2021-04-15",0
"472","Mexico","MEX","2021-04-16",0
"473","Mexico","MEX","2021-04-17",0
"474","Mexico","MEX","2021-04-18",0
"475","Mexico","MEX","2021-04-19",0
"476","Mexico","MEX","2021-04-20",0
"477","Mexico","MEX","2021-04-21",0
"478","Mexico","MEX","2021-04-22",0
"479","Mexico","MEX","2021-04-23",0
"480","Mexico","MEX","2021-04-24",0
"481","Mexico","MEX","2021-04-25",0
"482","Mexico","MEX","2021-04-26",0
"483","Mexico","MEX","2021-04-27",0
"484","Mexico","MEX","2021-04-28",0
"485","Mexico","MEX","2021-04-29",0
"486","Mexico","MEX","2021-04-30",0
"487","Mexico","MEX","2021-05-01",0
"488","Mexico","MEX","2021-05-02",0
"489","Mexico","MEX","2021-05-03",0
"490","Mexico","MEX","2021-05-04",0
"491","Mexico","MEX","2021-05-05",0
"492","Mexico","MEX","2021-05-06",0
"493","Mexico","MEX","2021-05-07",0
"494","Mexico","MEX","2021-05-08",0
"495","Mexico","MEX","2021-05-09",0
"496","Mexico","MEX","2021-05-10",0
"497","Mexico","MEX","2021-05-11",0
"498","Mexico","MEX","2021-05-12",0
"499","Mexico","MEX","2021-05-13",0
"500","Mexico","MEX","2021-05-14",0
"501","Mexico","MEX","2021-05-15",0
"502","Mexico","MEX","2021-05-16",0
"503","Mexico","MEX","2021-05-17",0
"504","Mexico","MEX","2021-05-18",0
"505","Mexico","MEX","2021-05-19",0
"506","Mexico","MEX","2021-05-20",0
"507","Mexico","MEX","2021-05-21",0
"508","Mexico","MEX","2021-05-22",0
"509","Mexico","MEX","2021-05-23",0
"510","Mexico","MEX","2021-05-24",0
"511","Mexico","MEX","2021-05-25",0
"512","Mexico","MEX","2021-05-26",0
"513","Mexico","MEX","2021-05-27",0
"514","Mexico","MEX","2021-05-28",0
"515","Mexico","MEX","2021-05-29",0
"516","Mexico","MEX","2021-05-30",0
"517","Mexico","MEX","2021-05-31",0
"518","Mexico","MEX","2021-06-01",0
"519","Mexico","MEX","2021-06-02",0
"520","Mexico","MEX","2021-06-03",0
"521","Mexico","MEX","2021-06-04",0
"522","Mexico","MEX","2021-06-05",0
"523","Mexico","MEX","2021-06-06",0
"524","Mexico","MEX","2021-06-07",0
"525","Mexico","MEX","2021-06-08",0
"526","Mexico","MEX","2021-06-09",0
"527","Mexico","MEX","2021-06-10",0
"528","Mexico","MEX","2021-06-11",0
"529","Mexico","MEX","2021-06-12",0
"530","Mexico","MEX","2021-06-13",0
"531","Mexico","MEX","2021-06-14",0
"532","Mexico","MEX","2021-06-15",0
"533","Mexico","MEX","2021-06-16",0
"534","Mexico","MEX","2021-06-17",0
"535","Mexico","MEX","2021-06-18",0
"536","Mexico","MEX","2021-06-19",0
"537","Mexico","MEX","2021-06-20",0
"538","Mexico","MEX","2021-06-21",0
"539","Mexico","MEX","2021-06-22",0
"540","Mexico","MEX","2021-06-23",0
